phrase_woodruff,phrases_scriptures,similarity_scores,verse_title
and appoint presidents and captains of hundreds and of fifties and of tens and let,and appoint presidents and captains of hundreds and of fifties and of tens,0.9689709190294471,Doctrine and Covenants 136:15
sins and the gift of the holy ghost by the laying on of hands when,sins the gift of the holy ghost by the laying on of hands,0.9638963790256079,Doctrine and Covenants 138:33
turn the hearts of the children to their fathers and the fathers to the children,children to their fathers and the hearts of the fathers to the children,0.9431011853788589,Doctrine and Covenants 98:16
turn the hearts of the fathers to the children and the hearts of the children,the hearts of the fathers to the children and the hearts of the children to,0.9414721559069026,Doctrine and Covenants 27:9
administered comfort unto adam and said unto him i have set thee to be at,and the lord administered comfort unto adam and said unto him i have set thee,0.9393410478399873,Doctrine and Covenants 107:55
as a hen gathereth her chickens under wings but ye would not and he then,a hen gathereth her chickens under her wings but ye would not!,0.9390020325575528,Doctrine and Covenants 43:24
concerning his people let every man use all his influence and property to remove this,let every man use all his influence and property to remove this people to the,0.9383498237760927,Doctrine and Covenants 136:10
turn the hearts of the fathers to the children and the hearts of the children,to turn the hearts of the fathers to the children and the children to the,0.9283847297844628,Doctrine and Covenants 110:15
joy behold this is the blessing of the everlasting god upon the tribes of israel,behold this is the blessing of the everlasting god upon the tribes of israel and,0.9281017340462567,Doctrine and Covenants 133:34
ye do this with a pure heart in all faithfulness ye shall be blessed you,and if ye do this with a pure heart in all faithfulness ye shall be,0.9255265759014153,Doctrine and Covenants 136:11
turn the hearts of the children to their fathers and the fathers to the children,fathers and the hearts of the children shall turn to their fathers,0.9241122717129273,Doctrine and Covenants 2:2
people to the place where the lord shall locate a stake of zion and if,place where the lord shall locate a stake of zion,0.92369068307685,Doctrine and Covenants 136:10
turn the hearts of the children to their fathers and the fathers to the children,to turn the hearts of the fathers to the children and the children to the,0.9234652717976337,Doctrine and Covenants 110:15
"before the coming of the great and dreadful day of the lord"" ""and he shall",before the coming of the great and dreadful day of the lord,0.9192927100823334,Doctrine and Covenants 2:1
my servants that have been appointed go and teach this my will to the saints,and let my servants that have been appointed go and teach this my will to,0.9149087649291506,Doctrine and Covenants 136:16
is the free gift of the lord thy god and thou art his steward if,steward for it is the free gift of the lord thy god and thou art his steward,0.9103064437060574,Doctrine and Covenants 136:27
and your enemies triumph over you so no more at present amen and amen friday,fail you and your enemies triumph over you so no more at present amen and amen,0.9094990556064009,Doctrine and Covenants 136:42
their testimony for with you saith the lord almighty i will rend 3 their kingdoms,for with you saith the lord almighty i will rend their kingdoms i will not,0.9083442160617636,Doctrine and Covenants 84:118
shall be blessed in your flocks and in your herds and in your fields and,blessed you shall be blessed in your flocks and in your herds and in your,0.9065884788588482,Doctrine and Covenants 136:11
with them be organized into companies with a covenant and promise to keep all the,who journey with them be organized into companies with a covenant and promise to keep,0.9064763461113933,Doctrine and Covenants 136:2
ye and keep all your pledges one with another and covet not that which is,seek ye and keep all your pledges one with another and covet not that which is thy brother's,0.9022486095968024,Doctrine and Covenants 136:20
thou art merry praise the lord with singing with music with dancing and with a,if thou art merry praise the lord with singing with music with dancing and with a prayer of praise and thanksgiving,0.8991662520285197,Doctrine and Covenants 136:28
all be fulfilled and though heaven and earth pass away my words shall not pass,and though the heaven and the earth pass away these words shall not pass away but shall be fulfilled,0.8989589770872861,Doctrine and Covenants 56:11
enemies and not many years hence they shall not be left to pollute my heritage,not many years hence they shall not be left to pollute mine heritage and to,0.8977477280740951,Doctrine and Covenants 105:15
company also let my servants amasa mason lyman and george albert smith organize a company,also let my servants amasa lyman and george a smith organize a company,0.8961432333500294,Doctrine and Covenants 136:14
against this people let each company prepare houses and fields for raising grain for those,let each company prepare houses and fields for raising grain for those who are to,0.8955212828402542,Doctrine and Covenants 136:9
for i take whom i will take and preserve in life them whom i will,who willeth to take even them whom he will take and preserveth in life them whom he will preserve,0.8880033231901859,Doctrine and Covenants 63:3
hiding place and in his fury he will vex the nation and in his hot,out of his hiding place and in his fury vex the nation,0.8806058962839297,Doctrine and Covenants 101:89
the head a multitude of nations shall come of thee and thou art a prince,to be at the head a multitude of nations shall come of thee and thou art a prince over them forever,0.8784904577297835,Doctrine and Covenants 107:55
diligent in preserving what thou hast that thou mayest be a wise steward for it,thou shalt be diligent in preserving what thou hast that thou mayest be a wise,0.8726336572909186,Doctrine and Covenants 136:27
the lamanites shall blossom as the rose in the wilderness now we know that this,wilderness and the lamanites shall blossom as the rose,0.8723724009755528,Doctrine and Covenants 49:24
christ the only true and living church upon the face of the whole earth with,darkness the only true and living church upon the face of the whole earth with,0.871137390880452,Doctrine and Covenants 1:30
"to their fathers lest i come and smite the earth with a curse"" abram received",the children to their fathers lest i come and smite the earth with a curse,0.8693399372822249,Doctrine and Covenants 128:17
