phrase_woodruff,phrases_scriptures,similarity_scores
heaven and earth pass away my rds shall not pass away but shall all be,be fulfilled. heaven and earth shall pass away: but my words shall not pass away.,0.9081982856657597
all be fulfilled and though heaven and earth pass away my rds shall not pass,be fulfilled. heaven and earth shall pass away: but my words shall not pass away.,0.8475377180223372
jerrusalem should be trodden down of the gentiles until the times of the gentiles be,"trodden down of the gentiles, until the times of the gentiles be fulfilled. and there",0.8319786497701248
"""ye are my friends if ye do whatsoever i command you[""] the house was full","ye are my friends, if ye do whatsoever i command you. henceforth i call you",0.8291645846538888
and heirs of god and joint heirs of jesus christ to a fulness of celestial,"are the children of god: and if children, then heirs; heirs of god, and joint-heirs",0.7653254601415901
thou hast spoken well i have all thou hast said in my heart i have,"jesus said unto her, thou hast well said, i have no husband: for thou hast",0.7479093661353532
be fulfilled though heaven and earth should pass away his rds should not pass away,be fulfilled. heaven and earth shall pass away: but my words shall not pass away.,0.7391258021427902
before and no eye hath seen nor ear heard neither hath it entered into the,"glory. but as it is written, eye hath not seen, nor ear heard, neither have",0.7260903556219103
the heaven and earth pass away the testimony of inspiration will not pass away but,be fulfilled. heaven and earth shall pass away: but my words shall not pass away.,0.7173082187255384
have compassion on others as we wish god to have compassion on us we should,"will have mercy, and i will have compassion on whom i will have compassion. so",0.7137897759445737
am in the father and the father in me now i do not suppose that,"i am in the father, and the father in me? the words that i speak",0.7133486585441373
thou knowest for thou knowest all our ways thou hast given unto us of thy,"unto him, lord, thou knowest all things; thou knowest that i love thee. jesus saith",0.7118366263233522
the name of the most high god i commend you to his grace and may,"i commend you to god, and to the word of his grace, which is able",0.7064390074542168
have a more convenient season but go thy way for this time and i want,"trembled, and answered, go thy way for this time; when i have a convenient season,",0.6977909350796225
people nation the hearts of men are failing them for fear of those things that,"hearts failing them for fear, and for looking after those things which are coming on",0.6948078632483715
the love of god our father and the grace of jesus christ our lord be,"grace to you and peace from god our father, and the lord jesus christ. first,",0.6906033257833775
lung fever i laid hands upon him and prayed for him he was healed so,"and prayed, and laid his hands on him, and healed him. so when this was",0.6859823281658443
of god he shall know of the doctrin whether it be of god or man,"do his will, he shall know of the doctrine, whether it be of god, or",0.685923900599548
enlighteneth every man that cometh into the rld and when a man was baptized for,"lighteth every man that cometh into the world. he was in the world, and the",0.6855798311085128
that the father is god the son is god and the holy ghost is god,"is the son of man glorified, and god is glorified in him. if god be",0.67457804231217
